GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
timesheet-ci,tn.esprit.spring.services,DepartementServiceImpl,94,0,0,0,21,0,10,0,10,0
timesheet-ci,tn.esprit.spring.entities,Timesheet,124,0,12,0,29,0,19,0,13,0
timesheet-ci,tn.esprit.spring.entities,Employe,0,3,0,0,0,1,0,1,0,1
timesheet-ci,tn.esprit.spring.entities,TimesheetPK,123,0,12,0,28,0,19,0,13,0
timesheet-ci,tn.esprit.spring.entities,Role,0,27,0,0,0,2,0,1,0,1
timesheet-ci,tn.esprit.spring.entities,MissionExterne,94,0,10,0,21,0,14,0,9,0
timesheet-ci,tn.esprit.spring.entities,Entreprise,23,0,0,0,8,0,2,0,2,0
timesheet-ci,tn.esprit.spring.entities,ContractType,0,21,0,0,0,2,0,1,0,1
timesheet-ci,tn.esprit.spring.entities,Departement,20,3,0,0,8,1,5,1,5,1
timesheet-ci,tn.esprit.spring.entities,Mission,9,0,0,0,4,0,1,0,1,0
timesheet-ci,tn.esprit.spring.entities,Contrat,0,3,0,0,0,1,0,1,0,1
timesheet-ci,tn.esprit.spring.entities,User,110,3,4,0,34,2,17,1,15,1
